QueryNumber,nDCG
1,0.4300161435335706
2,0
3,0.9047619047619048
4,0
5,0.6900845153874866
6,0.31546487678572877
7,0.6309297535714575
8,1.0
9,0.3154648767857287
10,1.0
11,0.893468810795955
12,0.3333333333333333
13,0
14,0.4937497188985746
15,0.7333333333333333
16,0.7250657854588236
17,0.6018342527778002
18,1.0
19,0.8999200247990146
20,0.9675851158608668
21,1.0
22,0.8035816388021916
23,0
24,0
25,0.5455081123298746
26,0.72953345464319
27,0.3010299956639812
28,0.9180385079206221
29,0
30,0
31,0.6867049889023985
32,0.38685280723454163
33,0.748718707326227
34,0.9608980633545894
35,0
36,0
37,0.8109665818057674
38,0.3333333333333333
39,0.7614382295165512
40,0.6546546217536686
41,1.0
42,1.0
43,0.5655228151937827
44,0.8879897593516443
45,0
46,0.38685280723454163
47,0.4744706689908244
48,0.3312732616136678
49,0.9676056886570377
50,1.0
51,0.33333333333333337
52,0
53,0.6756195170261932
54,0.6982987479970671
55,0
56,1.0
57,0.8524438057738482
58,0.5837327193618902
59,0.5335609179870577
60,0.38685280723454163
61,0.8055555555555556
62,0.6121654528982083
63,0.6309297535714575
64,0.4445412464587145
65,0.6013252687502619
66,0.43067655807339306
67,0.5138790902130886
68,0.946233076589537
69,0
70,0
71,1.0
72,0.6204510387155954
73,1.0
74,0.498969850408467
75,0.7411421869369462
76,1.0
77,0.8423643841708169
78,0.46724242515502096
79,0.6478128411036584
80,0.43470420928411624
81,0.33333333333333337
82,0.3562071871080222
83,1.0
84,0.8119439829657871
85,0
86,0.5061209964675134
87,0.7153382790366966
88,0.38685280723454163
89,0.7154858387573381
90,0.6678283390344937
91,0.8403128524054579
92,0.74844143852774
94,0.7623564092092044
95,0
96,0
97,0.32010173156855015
98,0.6309297535714575
99,0
100,0
