QueryNumber,Precision@5
1,0.2
2,0.0
3,0.2
4,0.0
5,0.8
6,0.0
7,0.2
8,0.2
9,0.0
10,0.2
11,0.8
12,0.0
13,0.0
14,0.4
15,0.2
16,1.0
17,0.4
18,0.2
19,0.4
20,0.8
21,0.2
22,0.8
23,0.0
24,0.0
25,0.4
26,0.6
27,0.0
28,0.4
29,0.0
30,0.0
31,0.4
32,0.0
33,0.6
34,0.8
35,0.0
36,0.0
37,0.8
38,0.0
39,0.8
40,0.2
41,0.2
42,0.2
43,0.4
44,0.6
45,0.0
46,0.0
47,0.4
48,0.0
49,0.8
50,0.2
51,0.0
52,0.0
53,0.4
54,0.4
55,0.0
56,0.2
57,0.8
58,0.4
59,0.4
60,0.0
61,0.4
62,0.4
63,0.2
64,0.4
65,0.6
66,0.2
67,0.6
68,0.2
69,0.0
70,0.0
71,0.2
72,0.4
73,0.2
74,0.2
75,0.8
76,0.2
77,0.4
78,0.4
79,0.4
80,0.2
81,0.0
82,0.0
83,0.2
84,0.4
85,0.0
86,0.6
87,0.4
88,0.0
89,0.4
90,0.4
91,0.8
92,0.4
94,0.6
95,0.0
96,0.0
97,0.0
98,0.2
99,0.0
100,0.0
